id,event_type,log_feature,volume,resource_type,severity_type
16781,event_type 11,feature 273,2,resource_type 8,severity_type 1
11995,event_type 43,feature 291,4,resource_type 2,severity_type 1
15719,event_type 35,feature 232,7,resource_type 2,severity_type 2
6004,event_type 35,feature 313,8,resource_type 2,severity_type 2
11847,event_type 11,feature 191,2,resource_type 8,severity_type 1
29,event_type 34,feature 314,57,resource_type 2,severity_type 2
7350,event_type 5,feature 203,14,resource_type 1,severity_type 1
7194,event_type 18,feature 345,1,resource_type 8,severity_type 1
6204,event_type 34,feature 307,2,resource_type 2,severity_type 2
6991,event_type 14,feature 163,4,resource_type 2,severity_type 1
15976,event_type 18,feature 68,1,resource_type 6,severity_type 1
2954,event_type 11,feature 273,6,resource_type 6,severity_type 1
1855,event_type 11,feature 204,2,resource_type 8,severity_type 1
2335,event_type 35,feature 232,6,resource_type 2,severity_type 2
9641,event_type 34,feature 227,1,resource_type 2,severity_type 2
497,event_type 34,feature 312,3,resource_type 2,severity_type 2
3456,event_type 14,feature 54,21,resource_type 8,severity_type 1
13685,event_type 42,feature 375,3,resource_type 2,severity_type 1
2977,event_type 18,feature 87,4,resource_type 6,severity_type 1
4771,event_type 34,feature 313,2,resource_type 2,severity_type 2
2954,event_type 22,feature 30,2,resource_type 8,severity_type 1
15615,event_type 11,feature 71,3,resource_type 8,severity_type 1
8592,event_type 34,feature 229,3,resource_type 2,severity_type 2
7126,event_type 15,feature 80,4,resource_type 8,severity_type 1
5258,event_type 34,feature 228,6,resource_type 2,severity_type 2
17133,event_type 11,feature 68,1,resource_type 8,severity_type 1
497,event_type 34,feature 307,3,resource_type 2,severity_type 2
2608,event_type 23,feature 306,1,resource_type 7,severity_type 1
9251,event_type 34,feature 278,1,resource_type 2,severity_type 1
18319,event_type 35,feature 232,36,resource_type 2,severity_type 2
12264,event_type 13,feature 68,2,resource_type 6,severity_type 1
6261,event_type 35,feature 309,5,resource_type 2,severity_type 2
4051,event_type 15,feature 82,2,resource_type 8,severity_type 2
9146,event_type 42,feature 283,5,resource_type 2,severity_type 1
11193,event_type 44,feature 283,1,resource_type 2,severity_type 1
16332,event_type 34,feature 315,4,resource_type 2,severity_type 2
9207,event_type 35,feature 312,2,resource_type 2,severity_type 2
5218,event_type 35,feature 310,1,resource_type 2,severity_type 2
1242,event_type 34,feature 235,1,resource_type 2,severity_type 2
6781,event_type 11,feature 167,1,resource_type 8,severity_type 1
14719,event_type 35,feature 95,2,resource_type 2,severity_type 1
16774,event_type 34,feature 312,1,resource_type 2,severity_type 2
2305,event_type 26,feature 212,1,resource_type 2,severity_type 1
8336,event_type 11,feature 134,1,resource_type 2,severity_type 1
17821,event_type 23,feature 345,1,resource_type 6,severity_type 1
14804,event_type 34,feature 181,1,resource_type 8,severity_type 1
17306,event_type 34,feature 278,2,resource_type 8,severity_type 1
13834,event_type 34,feature 307,1,resource_type 2,severity_type 2
14947,event_type 34,feature 314,4,resource_type 2,severity_type 2
16124,event_type 34,feature 232,11,resource_type 2,severity_type 2
2184,event_type 22,feature 68,2,resource_type 7,severity_type 1
6837,event_type 35,feature 310,23,resource_type 2,severity_type 2
16598,event_type 34,feature 235,2,resource_type 2,severity_type 2
4631,event_type 35,feature 231,1,resource_type 2,severity_type 2
5726,event_type 13,feature 273,4,resource_type 4,severity_type 1
13338,event_type 11,feature 197,1,resource_type 7,severity_type 2
391,event_type 34,feature 315,1,resource_type 2,severity_type 2
13496,event_type 15,feature 68,2,resource_type 8,severity_type 2
13807,event_type 43,feature 375,30,resource_type 2,severity_type 1
6483,event_type 44,feature 368,3,resource_type 2,severity_type 1
3531,event_type 11,feature 75,8,resource_type 8,severity_type 2
4836,event_type 42,feature 283,3,resource_type 2,severity_type 1
10946,event_type 34,feature 312,13,resource_type 2,severity_type 2
16791,event_type 11,feature 68,2,resource_type 8,severity_type 1
17870,event_type 35,feature 235,4,resource_type 2,severity_type 2
11742,event_type 15,feature 82,44,resource_type 8,severity_type 1
