,fault_severity
0,1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,2
17,1
18,2
19,0
20,0
21,0
22,0
23,2
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,1
40,0
41,1
42,1
43,0
44,1
45,0
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,2
55,1
56,0
57,0
58,0
59,0
60,0
61,2
62,0
63,1
64,0
65,2
66,0
67,0
68,0
69,2
70,0
71,0
72,2
73,0
74,0
75,0
76,0
77,2
78,0
79,0
80,0
81,0
82,2
83,0
84,1
85,1
86,0
87,0
88,1
89,1
90,0
91,0
92,1
93,0
94,0
95,2
96,0
97,1
98,1
99,0
100,0
101,0
102,1
103,2
104,1
105,2
106,2
107,2
108,2
109,0
110,0
111,0
112,0
113,0
114,0
115,1
116,1
117,0
118,1
119,0
120,1
121,0
122,0
123,1
124,0
125,2
126,1
127,0
128,1
129,0
130,0
131,0
132,0
133,2
134,1
135,1
136,1
137,1
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,1
150,2
151,1
152,0
153,2
154,1
155,0
156,0
157,0
158,1
159,0
160,0
161,0
162,0
163,1
164,0
165,2
166,0
167,0
168,1
169,0
170,1
171,0
172,0
173,0
174,1
175,0
176,0
177,0
178,0
179,2
180,0
181,0
182,0
183,2
184,2
185,2
186,0
187,0
188,0
189,0
190,1
191,1
192,0
193,0
194,1
195,2
196,0
197,1
198,1
199,0
200,1
201,1
202,0
203,1
204,0
205,1
206,2
207,0
208,2
209,0
210,1
211,0
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,0
227,2
228,1
229,0
230,1
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,1
239,1
240,0
241,0
242,1
243,0
244,0
245,0
246,0
247,0
248,1
249,0
250,0
251,0
252,0
253,1
254,2
255,1
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,2
266,0
267,2
268,2
269,1
270,0
271,0
272,0
273,1
274,0
275,1
276,1
277,0
278,0
279,0
280,0
281,0
282,0
283,2
284,0
285,1
286,1
287,0
288,0
289,0
290,2
291,0
292,1
293,0
294,0
295,2
296,0
297,0
298,1
299,0
300,0
301,0
302,0
303,2
304,0
305,0
306,0
307,1
308,2
309,0
310,0
311,1
312,0
313,0
314,2
315,0
316,0
317,2
318,0
319,2
320,0
321,2
322,1
323,0
324,0
325,0
326,0
327,0
328,1
329,1
330,2
331,1
332,1
333,0
334,0
335,0
336,0
337,0
338,2
339,0
340,2
341,0
342,0
343,0
344,0
345,0
346,1
347,1
348,0
349,0
350,0
351,2
352,0
353,1
354,0
355,0
356,0
357,1
358,1
359,1
360,1
361,0
362,0
363,0
364,0
365,1
366,0
367,0
368,1
369,2
370,0
371,1
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,1
380,2
381,0
382,0
383,0
384,1
385,0
386,2
387,1
388,0
389,2
390,0
391,0
392,1
393,1
394,0
395,2
396,1
397,0
398,0
399,0
400,0
401,1
402,1
403,1
404,0
405,0
406,2
407,0
408,1
409,0
410,1
411,0
412,0
413,2
414,0
415,0
416,0
417,0
418,0
419,1
420,0
421,0
422,0
423,1
424,0
425,2
426,1
427,0
428,1
429,0
430,0
431,0
432,0
433,0
434,2
435,0
436,1
437,0
438,1
439,0
440,0
441,0
442,2
443,0
444,0
445,1
446,1
447,0
448,0
449,0
450,1
451,2
452,0
453,2
454,0
455,0
456,0
457,2
458,0
459,2
460,1
461,1
462,0
463,2
464,1
465,1
466,2
467,0
468,1
469,0
470,2
471,2
472,1
473,2
474,1
475,0
476,0
477,0
478,0
479,0
480,2
481,0
482,0
483,0
484,0
485,2
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,1
494,1
495,0
496,1
497,0
498,1
499,0
500,0
501,0
502,0
503,0
504,1
505,0
506,1
507,1
508,2
509,1
510,0
511,0
512,0
513,0
514,1
515,1
516,1
517,0
518,2
519,0
520,0
521,0
522,0
523,0
524,1
525,0
526,1
527,1
528,2
529,0
530,0
531,0
532,1
533,0
534,0
535,1
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,1
544,0
545,0
546,1
547,1
548,0
549,0
550,1
551,0
552,0
553,1
554,1
555,0
556,0
557,1
558,0
559,0
560,1
561,0
562,0
563,0
564,1
565,1
566,1
567,0
568,0
569,1
570,0
571,2
572,0
573,0
574,1
575,0
576,0
577,0
578,0
579,2
580,0
581,1
582,2
583,2
584,0
585,0
586,0
587,0
588,0
589,0
590,1
591,0
592,2
593,1
594,0
595,0
596,1
597,0
598,2
599,2
600,2
601,0
602,0
603,0
604,1
605,0
606,0
607,2
608,0
609,0
610,0
611,1
612,2
613,2
614,0
615,1
616,0
617,1
618,0
619,0
620,0
621,0
622,0
623,1
624,2
625,0
626,0
627,1
628,2
629,0
630,1
631,0
632,0
633,2
634,0
635,0
636,1
637,0
638,0
639,1
640,1
641,0
642,2
643,1
644,1
645,0
646,1
647,1
648,1
649,0
650,0
651,1
652,0
653,2
654,0
655,0
656,0
657,1
658,0
659,1
660,2
661,0
662,0
663,2
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,2
672,0
673,1
674,1
675,1
676,0
677,1
678,0
679,0
680,0
681,1
682,2
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,1
693,0
694,0
695,0
696,1
697,0
698,1
699,0
700,0
701,0
702,1
703,0
704,1
705,2
706,1
707,2
708,0
709,1
710,0
711,1
712,0
713,0
714,0
715,1
716,1
717,1
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,2
726,2
727,1
728,1
729,1
730,0
731,2
732,2
733,0
734,1
735,0
736,2
737,1
738,0
739,1
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,1
748,0
749,1
750,0
751,0
752,2
753,0
754,1
755,1
756,1
757,2
758,0
759,1
760,0
761,1
762,1
763,2
764,0
765,2
766,2
767,1
768,1
769,0
770,0
771,0
772,1
773,0
774,2
775,0
776,0
777,0
778,0
779,1
780,0
781,0
782,1
783,2
784,0
785,0
786,0
787,2
788,2
789,0
790,0
791,0
792,2
793,0
794,0
795,0
796,0
797,0
798,2
799,0
800,0
801,0
802,0
803,1
804,0
805,0
806,0
807,0
808,0
809,2
810,0
811,1
812,1
813,2
814,0
815,1
816,2
817,0
818,0
819,0
820,1
821,0
822,0
823,0
824,1
825,1
826,0
827,0
828,0
829,0
830,1
831,2
832,0
833,0
834,1
835,0
836,0
837,0
838,0
839,1
840,0
841,0
842,2
843,1
844,1
845,2
846,1
847,0
848,0
849,0
850,0
851,0
852,1
853,1
854,0
855,0
856,0
857,1
858,0
859,1
860,0
861,0
862,0
863,1
864,0
865,1
866,0
867,0
868,0
869,0
870,1
871,0
872,0
873,0
874,1
875,0
876,1
877,1
878,1
879,2
880,1
881,2
882,0
883,0
884,0
885,0
886,0
887,1
888,0
889,1
890,0
891,1
892,0
893,1
894,1
895,0
896,0
897,0
898,1
899,0
900,2
901,2
902,0
903,0
904,2
905,0
906,0
907,2
908,2
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,1
918,1
919,1
920,0
921,0
922,1
923,2
924,1
925,1
926,0
927,1
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,2
938,0
939,0
940,0
941,0
942,0
943,1
944,1
945,1
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,2
956,1
957,0
958,1
959,2
960,0
961,1
962,0
963,0
964,0
965,2
966,0
967,0
968,0
969,0
970,1
971,1
972,0
973,0
974,1
975,0
976,0
977,0
978,0
979,2
980,0
981,1
982,0
983,0
984,0
985,0
986,0
987,0
988,2
989,0
990,0
991,0
992,0
993,1
994,0
995,0
996,0
997,0
998,0
999,2
1000,1
1001,0
1002,2
1003,0
1004,0
1005,2
1006,0
1007,1
1008,0
1009,0
1010,0
1011,1
1012,2
1013,2
1014,1
1015,0
1016,0
1017,1
1018,0
1019,0
1020,0
1021,1
1022,0
1023,0
1024,0
1025,0
1026,0
1027,1
1028,2
1029,0
1030,1
1031,1
1032,1
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,1
1041,0
1042,0
1043,1
1044,0
1045,2
1046,0
1047,0
1048,2
1049,0
1050,0
1051,0
1052,0
1053,0
1054,1
1055,0
1056,0
1057,0
1058,0
1059,2
1060,0
1061,0
1062,0
1063,0
1064,0
1065,1
1066,0
1067,2
1068,1
1069,0
1070,0
1071,2
1072,0
1073,0
1074,2
1075,1
1076,0
1077,0
1078,0
1079,0
1080,0
1081,1
1082,1
1083,0
1084,0
1085,2
1086,0
1087,0
1088,0
1089,0
1090,2
1091,0
1092,0
1093,1
1094,0
1095,1
1096,0
1097,0
1098,2
1099,0
1100,1
1101,0
1102,1
1103,0
1104,0
1105,0
1106,0
1107,1
1108,1
1109,0
1110,0
1111,0
1112,0
1113,0
1114,2
1115,1
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,1
1123,0
1124,0
1125,0
1126,1
1127,1
1128,2
1129,1
1130,0
1131,0
1132,0
1133,1
1134,0
1135,0
1136,0
1137,1
1138,0
1139,1
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,2
1150,0
1151,1
1152,1
1153,0
1154,0
1155,1
1156,0
1157,0
1158,1
1159,2
1160,0
1161,1
1162,1
1163,0
1164,0
1165,0
1166,2
1167,1
1168,2
1169,0
1170,2
1171,2
1172,0
1173,0
1174,1
1175,0
1176,0
1177,0
1178,2
1179,2
1180,0
1181,0
1182,2
1183,0
1184,0
1185,0
1186,0
1187,0
1188,2
1189,2
1190,0
1191,0
1192,2
1193,0
1194,0
1195,2
1196,1
1197,0
1198,0
1199,1
1200,1
1201,2
1202,0
1203,1
1204,0
1205,2
1206,0
1207,1
1208,1
1209,0
1210,1
1211,1
1212,0
1213,1
1214,0
1215,0
1216,0
1217,1
1218,0
1219,2
1220,0
1221,1
1222,2
1223,0
1224,2
1225,1
1226,0
1227,1
1228,1
1229,0
